date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,1,0.0,3.8,1,26,01:42 PM,09:30 PM,09:26 AM,04:52 PM,-0,-1,2,-1,26,67,85,0.0,1020,4,10,280,13,Midtjylland
2019-12-02,5,1,0.0,5.8,2,33,02:08 PM,10:41 PM,09:28 AM,04:52 PM,-0,-1,2,-1,33,29,83,0.2,1018,5,10,305,18,Midtjylland
2019-12-03,7,2,0.0,1.8,2,41,02:27 PM,11:53 PM,09:29 AM,04:51 PM,4,2,5,2,30,83,90,0.3,1021,7,9,258,17,Midtjylland
2019-12-04,8,6,0.0,5.8,2,48,02:43 PM,No moonset,09:31 AM,04:50 PM,5,3,7,3,35,53,88,0.0,1018,8,10,249,21,Midtjylland
2019-12-05,7,5,0.0,1.8,2,55,02:57 PM,01:04 AM,09:33 AM,04:49 PM,4,2,7,2,42,86,84,0.3,1013,7,9,239,27,Midtjylland
2019-12-06,10,6,0.0,1.8,2,62,03:10 PM,02:15 AM,09:34 AM,04:49 PM,8,6,9,6,48,100,91,6.5,998,10,8,235,33,Midtjylland
2019-12-07,8,1,0.0,3.8,2,70,03:22 PM,03:26 AM,09:35 AM,04:48 PM,4,4,7,4,35,68,82,2.1,999,8,10,271,23,Midtjylland
2019-12-08,9,4,0.0,3.8,2,77,03:35 PM,04:38 AM,09:37 AM,04:48 PM,5,3,8,3,46,86,82,8.9,990,9,8,237,30,Midtjylland
2019-12-09,7,4,0.0,5.8,2,84,03:51 PM,05:52 AM,09:38 AM,04:47 PM,2,1,5,1,29,55,77,5.5,992,7,8,236,19,Midtjylland
2019-12-10,5,1,0.0,1.8,1,92,04:10 PM,07:08 AM,09:39 AM,04:47 PM,-0,-1,3,-1,36,58,78,0.2,1013,5,9,243,23,Midtjylland
2019-12-11,7,3,0.0,5.8,2,99,04:35 PM,08:25 AM,09:41 AM,04:47 PM,3,2,5,2,34,59,85,1.0,1003,7,10,211,21,Midtjylland
2019-12-12,5,2,0.0,3.8,1,100,05:10 PM,09:42 AM,09:42 AM,04:46 PM,2,-0,3,-0,25,63,92,0.6,996,5,8,182,16,Midtjylland
2019-12-13,4,2,0.0,3.8,1,87,05:57 PM,10:51 AM,09:43 AM,04:46 PM,-0,-3,3,-3,39,67,83,0.0,984,4,10,137,27,Midtjylland
2019-12-14,5,2,0.3,1.8,1,79,07:00 PM,11:49 AM,09:44 AM,04:46 PM,2,-1,4,-1,30,97,90,6.1,979,5,6,187,21,Midtjylland
2019-12-15,6,3,0.0,1.8,1,72,08:15 PM,12:33 PM,09:45 AM,04:46 PM,2,-0,5,-0,47,77,81,4.0,988,6,9,225,29,Midtjylland
